Step_Number,Step_Title,UI_Target,Overlay_Position_relative_to_UI_target,Overlay_Text,User_Action,Success_Trigger_Claude_will_Complete,Auto_Advance_Seconds,Error_Message,Skip_Condition
1,Begin Tutorial,Tutorial Button,below,"This is the Tutorial version of Theatre Cue Player, based on version 0.8.3.\n\n Please use the most recent project version for class and production.\n\n Click the Tutorial Button at the top right of your screen to begin.",click_element,,,Please click the Tutorial button to begin,
2,Load Show Folder,Load Show Folder button,left,Click here to select the folder with the files and folder structure you downloaded.  Make sure they are uncompressed.  \n\n You should have Sample-Cue-Sheet.json and the audio files (some in folders). \n\n NOTE you will not see the files when you click to select a folder.,click_element,,,,
3,Introduction,Next,Centered,"When you open a Show Folder, you begin in Show Mode.  All edit functions are disabled.  Let's look around and see what's here",click_next,,,,
4,Show Title,Next,below,"Here's the title for your show and the filename for the cue file. We use the file format "".json"" to store show and cue data",click_next,,,,
5,Top bar,Help,below,"Here you can open a context-sensitive help menu, read the short manual, run a tutorial on playback, and enter Edit Mode. \n\n Let's click on HELP and see what happens",click_element,,,,
6,Help,Exit Help,below,"See all those yellow question marks? Click on one of those and you'll see a short definition in the Help window on the right side bar. \n\n After you've tried a few, click Exit Help at the top of the screen.",click_element,,,,
7,Show Control,GO button,left,"The GO button is how you play and progress through the cues.\n\n You can also use the spacebar for GO. \n\n Try playing some cues. Notice the cue that is playing turns green and shows in ""Currently Playing"". Cues that need an explicit ""GO"" have a black background, and cues that will play automatically are gray. The next cue to play is highlighted in Blue.",click_next,,,,
8,Jump to First,Jump to First,left,"Now that you've gone through some cues, it's time to move back to the first cue.  Just click Jump to First, or type in 1 and click Jump.",click_next,,,,
9,Actions,Next,centered,"Each individual cue also has playback controls. Sometimes we want to play cues out of order.  Sometimes we click ""GO"" before it was the right time.  \n\n In Theatre Cue Player, you can stop or fade out individual cues without having to stop the whole show. \n\n Try playing a longer cue with its individual green play button, then fade it out with the yellow slash. Click Next after you've experimented with this.",click_next,,,,
10,Keyboard Shortcuts,Next,Centered,"Theatre Cue Player utilizes many of the standard cue playback keyboard shortcuts. Try some out, and click Next when ready to continue.",click_next,,,,
11,Edit Mode,Edit Mode button,below,Let's go into edit mode to add and edit sound and fade cues,click_element,,,,
12,Edit Mode Intro,Next,Centered,Not much changed visually. We have some more buttons at top. But now every cell for every cue is editable.,click_next,,,,
13,Add Audio Cue,Add Audio Cue Button,below,Cue 2 is missing!  Let's add it. Click Add Audio Cue,click_element,,,,
14,Select Target File,Target button for the newly added cue,below,"We added a cue, but now we need to say which file to play. Click on ""No File"" in the Target column of the cue we just added",click_element,,,,
15,Select Audio File,"""--Select Audio File--""",above,"Click ""Select Audio File"" to show all the audio files we have available in the show folder",click_element,,,,
16,Select mp3 file,cue-by-ttsmaker.mp3,above,"Select the file ""cue-by-ttsmakermp3"".",click_element,,,,
17,Rename cue,Cue Label,right,"Let's name the file ""Cue""",click_element,,,,
18,Renumber cue,Cue #,below,Click on the Cue # column and type in 2 then OK,click_element,,,,
19,Move cue,Reorder Cues,below,"We need to move the cue to the right place. Click on Reorder cues and use the arrow keys to place it between ""Theatre"" and ""Player"". Then press Done.",,,,,
20,Notice the Autofollow tag,Green play button for cue 1,Centered,"Did you notice the➡️ got added to the cue name?  And the row changed to a light gray?  Why is that? \n\n Look at the cue above it. The Auto Follow column is marked. That means when the first cue completes, the next cue will <bold>Auto</bold>matically <bold>Follow</bold> it and play by itself.  Press the Green play button on Cue 1 and see it in action.",click_element,,,,
21,Add autofollow,Autofollow button for cue 2,below,Let's add an AutoFollow to Cue 2,click_element,,,,
22,Play the sequence,GO button,Centered,"Let's try the first sequence now. If you aren't on Cue 1, you can press Jump to First, type in 1 then press Jump, or just move with the arrow keys. Then Press Go",click_element,,,,
23,Trim audio,Waveform editor for Cue 1,below,Let's see if we can make that sound a little better by getting rid of the pauses between the words. The easiest way is with the Waveform Editor.  Click the ∿ button for Cue 1,click_element,,,,
24,Waveform editor Intro,Apply Changes,below,"We're now in the Waveform editor. You can click on the Help button here to see what the other buttons do. \n\nBut first, let's trim that silence!  Use your mouse and click right where you first start seeing soundwaves. Do you see a white line? That's called the playhead. \n\n Now find Trim Start, and click the ""Set at Playhead"" button below it. You've just trimmed the silence at the beginning of the sound.  Press the blue Play Selection button and compare it with Play Full.\n\n Now do the same process but trim the silence at the end. You can zoom in with the magnifying glass for more precision.\n\n When you're done, click ""Apply Changes"".",click_element,,,,
25,Test Trimmed Audio,GO button,Centered,Make sure you are on Cue 1 and press GO.  Notice that Cue #2 autofollows much quicker now.  You can edit Cues 2 and 3 in the waveform editor if you like.,click_element,,,,
26,Music,Add Fade Cue,Centered,"Let's look at cue 4.  Go ahead and play a bit of it. You can use the Show Control GO button or the cue row Play button. \n\n We don't need to listen to the whole song, so let's add a fade out cue.  Click the yellow ""Add Fade Cue""",click_element,,,,
27,Rename and move,GO button,Centered,"Do you know what to do now?  Let's change the number to Cue 5. Rename it to ""Fade Drama Queen Dreams"". Click on Target to make it fade Cue 4. Finally, click on Reorder Cues and move it to the right place in the cue stack. \n\nThen press GO on Cue 4 to play the sound, and GO again to run the fade.",click_element,,,,
28,Notice Fade In,Next,Centered,"Notice that Cue 4 has an integrated fade in time of 5 seconds. If you click on the Waveform Editor for Cue 4, you can even see the fade time shown.",click_next,,,,
29,Begin Pan,Add Audio Cue Button,Centered,Let's add another cue. Press Add Audio Cue,click_element,,,,
30,Select audio file,Select an audio file,below,"Notice in the audio selection window that we can see how our sounds are organized by folders.  These examples use the root folder, Music/ and SFX/.  \n\nPick any sound, but maybe SFX/bbc_footsteps-_07074187.mp3 from the BBC Sound Effects Library is a good choice.",click_element,,,,
31,Pan to the left,Pan,below,Go ahead and play the sound. \n\nNow let's make it move from left to right. Click the Pan column for this cue.,click_element,,,,
32,Set Pan,Set button,below,"In Theatre Cue Player, a sound that plays only on the left speaker is numbered -100. A sound that plays equally on both speakers is set to 0. And a sound that plays only on the right speaker is 100.\n\nYou can type in a number in the box or press the shortcut button ""-100 = all to the Left"".  ","click_element - either the Set button or the ""-100 = all to the Left"" button",,,,
33,Set Pan Fade,Next,below,Set the target for this new fade cue to the footsteps cue. Click on Pan and make it go all the way to the right.\n\nFade cues default to fading out to 0% volume over 5 seconds. Make sure you change the volume on the fade cue to 100.  \n\nNow play through the sequence. Click Next when you're ready.,click_next,,,,
34,Begin Hot Keys,Next,left,"Let's add one more Audio Cue. This time, select the airhorn sound in the SFX folder.  You can name the cue if you want. Click Next when you have that cue loaded up.",click_next,,,,
35,Add Hot Key,Shift-F2,Centered,"Let's make that sound a hotkey. Sometimes you have a sound that needs to play based on stage action and not necessarily in order. Hot keys are great for that. \n\n Press and hold Shift, then press F2",press shift-f2,,,,
36,Assign Hot Key,OK button,below,"Type in the cue number for the air horn to assign it, then press OK",click_element,,,,
37,Play the Hot Key,Next,centered,Press the F2 button on your keyboard.  Are you hearing the air horn? Click Next when you're done being a DJ.,click_next,,,,
38,Saving the Cue File,Save Cue File As,centered,"Now it's time to save our cue file. Depending on your browser and computer settings, the cue file might save only to your Downloads folder or it might open a folder picker. Pay attention to where the file is going so you can move it into your show folder.  Click on it now, name your show, and save your cue file.",click_element,,,,
39,Show Mode,Exit Edit,below,We've made our edits and saved our cue file. Let's go into Show Mode so we don't accidentally change any cues.  Click Exit Edit.,click_element,,,,
40,End Tutorial,Next,Centered,"You've made it through the tutorial. We've hit the major elements. Please explore the parts we didn't cover, like Auto Continue, Delay, Loops, and Renumber Cues. \n\n Click Next to end the tutorial.",click_next,,,,
